service_id,date,exception_type
1,20190225,1
1,20190226,1
1,20190227,1
1,20190228,1
1,20190301,1
1,20190304,1
1,20190305,1
1,20190306,1
1,20190307,1
1,20190308,1
1,20190311,1
1,20190312,1
1,20190313,1
1,20190314,1
1,20190315,1
1,20190318,1
1,20190319,1
1,20190320,1
1,20190321,1
1,20190322,1
1,20190325,1
1,20190328,1
1,20190329,1
1,20190401,1
1,20190402,1
1,20190403,1
1,20190404,1
1,20190405,1
1,20190408,1
1,20190409,1
1,20190410,1
1,20190411,1
1,20190412,1
1,20190415,1
1,20190416,1
1,20190417,1
1,20190418,1
1,20190419,1
1,20190422,1
1,20190423,1
1,20190424,1
1,20190425,1
1,20190426,1
1,20190429,1
1,20190430,1
1,20190501,1
1,20190502,1
1,20190503,1
1,20190506,1
1,20190507,1
1,20190508,1
1,20190509,1
1,20190510,1
1,20190513,1
1,20190514,1
1,20190515,1
1,20190516,1
1,20190517,1
1,20190520,1
1,20190521,1
1,20190522,1
1,20190523,1
1,20190524,1
2,20190327,1
3,20190302,1
3,20190303,1
3,20190309,1
3,20190310,1
3,20190316,1
3,20190317,1
3,20190323,1
3,20190324,1
3,20190330,1
3,20190331,1
3,20190406,1
3,20190407,1
3,20190413,1
3,20190414,1
3,20190420,1
3,20190421,1
3,20190427,1
3,20190428,1
3,20190504,1
3,20190505,1
3,20190511,1
3,20190512,1
3,20190518,1
3,20190519,1
4,20190302,1
4,20190303,1
4,20190309,1
4,20190310,1
4,20190316,1
4,20190317,1
4,20190323,1
4,20190324,1
4,20190330,1
4,20190331,1
4,20190406,1
4,20190407,1
4,20190413,1
4,20190414,1
4,20190420,1
4,20190421,1
4,20190427,1
4,20190428,1
4,20190504,1
4,20190505,1
4,20190511,1
4,20190512,1
4,20190518,1
4,20190519,1
4,20190525,1
5,20190326,1
6,20190326,1
6,20190327,1
7,20190302,1
7,20190309,1
7,20190316,1
7,20190323,1
7,20190330,1
7,20190406,1
7,20190413,1
7,20190420,1
7,20190427,1
7,20190504,1
7,20190511,1
7,20190518,1
7,20190525,1
7,20190601,1
7,20190608,1
7,20190615,1
7,20190622,1
7,20190629,1
7,20190706,1
7,20190713,1
7,20190720,1
7,20190727,1
7,20190803,1
7,20190810,1
7,20190817,1
8,20190303,1
8,20190310,1
8,20190317,1
8,20190324,1
8,20190331,1
8,20190407,1
8,20190414,1
8,20190421,1
8,20190428,1
8,20190505,1
8,20190512,1
8,20190519,1
8,20190526,1
8,20190602,1
8,20190609,1
8,20190616,1
8,20190623,1
8,20190630,1
8,20190707,1
8,20190714,1
8,20190721,1
8,20190728,1
8,20190804,1
8,20190811,1
8,20190818,1
9,20190225,1
9,20190226,1
9,20190227,1
9,20190228,1
9,20190301,1
9,20190304,1
9,20190305,1
9,20190306,1
9,20190307,1
9,20190308,1
9,20190311,1
9,20190312,1
9,20190313,1
9,20190314,1
9,20190315,1
9,20190318,1
9,20190319,1
9,20190320,1
9,20190321,1
9,20190322,1
9,20190325,1
9,20190326,1
9,20190327,1
9,20190328,1
9,20190329,1
9,20190401,1
9,20190402,1
9,20190403,1
9,20190404,1
9,20190405,1
9,20190408,1
9,20190409,1
9,20190410,1
9,20190411,1
9,20190412,1
9,20190415,1
9,20190416,1
9,20190417,1
9,20190418,1
9,20190419,1
9,20190422,1
9,20190423,1
9,20190424,1
9,20190425,1
9,20190426,1
9,20190429,1
9,20190430,1
9,20190501,1
9,20190502,1
9,20190503,1
9,20190506,1
9,20190507,1
9,20190508,1
9,20190509,1
9,20190510,1
9,20190513,1
9,20190514,1
9,20190515,1
9,20190516,1
9,20190517,1
9,20190520,1
9,20190521,1
9,20190522,1
9,20190523,1
9,20190524,1
9,20190527,1
9,20190528,1
9,20190529,1
9,20190530,1
9,20190531,1
9,20190603,1
9,20190604,1
9,20190605,1
9,20190606,1
9,20190607,1
9,20190610,1
9,20190611,1
9,20190612,1
9,20190613,1
9,20190614,1
9,20190617,1
9,20190618,1
9,20190619,1
9,20190620,1
9,20190621,1
9,20190624,1
9,20190625,1
9,20190626,1
9,20190627,1
9,20190628,1
9,20190701,1
9,20190702,1
9,20190703,1
9,20190704,1
9,20190705,1
9,20190708,1
9,20190709,1
9,20190710,1
9,20190711,1
9,20190712,1
9,20190715,1
9,20190716,1
9,20190717,1
9,20190718,1
9,20190719,1
9,20190722,1
9,20190723,1
9,20190724,1
9,20190725,1
9,20190726,1
9,20190729,1
9,20190730,1
9,20190731,1
9,20190801,1
9,20190802,1
9,20190805,1
9,20190806,1
9,20190807,1
9,20190808,1
9,20190809,1
9,20190812,1
9,20190813,1
9,20190814,1
9,20190815,1
9,20190816,1
9,20190819,1
9,20190820,1
9,20190821,1
9,20190822,1
9,20190823,1
10,20190301,1
10,20190302,1
10,20190308,1
10,20190309,1
10,20190315,1
10,20190316,1
10,20190322,1
10,20190323,1
10,20190329,1
10,20190330,1
10,20190405,1
10,20190406,1
10,20190412,1
10,20190413,1
10,20190419,1
10,20190420,1
10,20190426,1
10,20190427,1
10,20190503,1
10,20190504,1
10,20190510,1
10,20190511,1
10,20190517,1
10,20190518,1
10,20190524,1
11,20190225,1
11,20190226,1
11,20190227,1
11,20190228,1
11,20190303,1
11,20190304,1
11,20190305,1
11,20190306,1
11,20190307,1
11,20190310,1
11,20190311,1
11,20190312,1
11,20190313,1
11,20190314,1
11,20190317,1
11,20190318,1
11,20190319,1
11,20190320,1
11,20190321,1
11,20190324,1
11,20190325,1
11,20190328,1
11,20190331,1
11,20190401,1
11,20190402,1
11,20190403,1
11,20190404,1
11,20190407,1
11,20190408,1
11,20190409,1
11,20190410,1
11,20190411,1
11,20190414,1
11,20190415,1
11,20190416,1
11,20190417,1
11,20190418,1
11,20190421,1
11,20190422,1
11,20190423,1
11,20190424,1
11,20190425,1
11,20190428,1
11,20190429,1
11,20190430,1
11,20190501,1
11,20190502,1
11,20190505,1
11,20190506,1
11,20190507,1
11,20190508,1
11,20190509,1
11,20190512,1
11,20190513,1
11,20190514,1
11,20190515,1
11,20190516,1
11,20190519,1
11,20190520,1
11,20190521,1
11,20190522,1
11,20190523,1
12,20190302,1
13,20190302,1
13,20190303,1
13,20190309,1
13,20190310,1
13,20190316,1
13,20190317,1
13,20190323,1
13,20190324,1
13,20190330,1
13,20190331,1
13,20190406,1
13,20190407,1
13,20190413,1
13,20190414,1
13,20190420,1
13,20190421,1
13,20190427,1
13,20190428,1
13,20190504,1
13,20190505,1
13,20190511,1
13,20190512,1
13,20190518,1
13,20190519,1
13,20190525,1
13,20190526,1
14,20190301,1
14,20190308,1
14,20190315,1
14,20190322,1
14,20190329,1
14,20190405,1
14,20190412,1
14,20190419,1
14,20190426,1
14,20190503,1
14,20190510,1
14,20190517,1
14,20190524,1
15,20190302,1
15,20190309,1
15,20190316,1
15,20190323,1
15,20190330,1
15,20190406,1
15,20190413,1
15,20190420,1
15,20190427,1
15,20190504,1
15,20190511,1
15,20190518,1
16,20190225,1
16,20190226,1
16,20190227,1
16,20190228,1
16,20190304,1
16,20190305,1
16,20190306,1
16,20190307,1
16,20190311,1
16,20190312,1
16,20190313,1
16,20190314,1
16,20190318,1
16,20190319,1
16,20190320,1
16,20190321,1
16,20190325,1
16,20190328,1
16,20190401,1
16,20190402,1
16,20190403,1
16,20190404,1
16,20190408,1
16,20190409,1
16,20190410,1
16,20190411,1
16,20190415,1
16,20190416,1
16,20190417,1
16,20190418,1
16,20190422,1
16,20190423,1
16,20190424,1
16,20190425,1
16,20190429,1
16,20190430,1
16,20190501,1
16,20190502,1
16,20190506,1
16,20190507,1
16,20190508,1
16,20190509,1
16,20190513,1
16,20190514,1
16,20190515,1
16,20190516,1
16,20190520,1
16,20190521,1
16,20190522,1
16,20190523,1
17,20190303,1
17,20190310,1
17,20190317,1
17,20190324,1
17,20190331,1
17,20190407,1
17,20190414,1
17,20190421,1
17,20190428,1
17,20190505,1
17,20190512,1
17,20190519,1
18,20190226,1
18,20190227,1
18,20190228,1
18,20190301,1
